"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"3114" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0545; b0546" "ybcL; ybcM" "DLP12 prophage; secreted protein, UPF0098 family; DLP12 prophage; predicted DNA-binding transcriptional regulator"
"3115" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b4588; b0547; b0548; b0549; b0550; b4509" "ylcH; ybcN; ninE; ybcO; rusA; ylcG" "hypothetical protein, DLP12 prophage; DLP12 prophage; predicted protein; DLP12 prophage; conserved protein; DLP12 prophage; predicted protein; DLP12 prophage; endonuclease RUS; expressed protein, DLP12 prophage"
"3116" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0554; b0555; b0556; b4510" "essD; rrrD; rzpD; rzoD" "DLP12 prophage; predicted phage lysis protein; DLP12 prophage; predicted lysozyme; DLP12 prophage; predicted murein endopeptidase; DLP12 prophage; predicted lipoprotein"
"3117" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0567; b0568; b0569" "ybcH; nfrA; nfrB" "predicted protein; bacteriophage N4 receptor, outer membrane subunit; bacteriophage N4 receptor, inner membrane subunit"
"3118" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0570; b0571" "cusS; cusR" "sensory histidine kinase in two-component regulatory system with CusR, senses copper ions; DNA-binding response regulator in two-component regulatory system with CusS"
"3119" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0573; b0574; b0575; b0576" "cusF; cusB; cusA; pheP" "periplasmic copper- and silver-binding protein; copper/silver efflux system, membrane fusion protein; copper/silver efflux system, membrane component; phenylalanine transporter"
"3120" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0579; b0580; b0581" "ybdF; ybdJ; ybdK" "conserved protein; predicted inner membrane protein; weak gamma-glutamyl:cysteine ligase"
"3121" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0585; b4511; b0586" "fes; ybdZ; entF" "enterobactin/ferric enterobactin esterase; conserved protein; enterobactin synthase multienzyme complex component, ATP-dependent"
"3122" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0588; b0589; b0590" "fepC; fepG; fepD" "iron-enterobactin transporter subunit; iron-enterobactin transporter subunit; iron-enterobactin transporter subunit"
"3123" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0593; b0594; b0595; b0596; b0597" "entC; entE; entB; entA; entH" "isochorismate synthase 1; 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex; isochorismatase; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase; thioesterase required for efficient enterobactin production"
"3124" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0601; b0602" "ybdM; ybdN" "conserved protein; conserved protein"
"3125" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b0612; b0613; b0614; b0615; b0616; b0617; b0618" "citT; citG; citX; citF; citE; citD; citC" "citrate:succinate antiporter; 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase; apo-citrate lyase phosphoribosyl-dephospho-CoA transferase; citrate lyase, citrate-ACP transferase (alpha) subunit; citrate lyase, citryl-ACP lyase (beta) subunit; citrate lyase, acyl carrier (gamma) subunit; [citrate [pro-3S]-lyase] ligase"
"3126" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0619; b0620" "dpiB; dpiA" "sensory histidine kinase in two-component regulatory system with citB; DNA-binding response regulator in two-component regulatory system with citA"
"3127" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0630; b0631" "lipB; ybeD" "octanoyltransferase; octanoyl-[ACP]:protein N-octanoyltransferase; conserved protein, UPF0250 family"
"3128" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0633; b0634; b0635; b0636; b0637" "rlpA; mrdB; mrdA; rlmH; ybeB" "septal ring protein, suppressor of prc, minor lipoprotein; cell wall shape-determining protein; transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2); 23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent; ribosome-associated protein"
"3129" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0638; b0639; b0640; b0641; b0642" "cobC; nadD; holA; lptE; leuS" "predicted alpha-ribazole-5'-P phosphatase; nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent; DNA polymerase III, delta subunit; LPS assembly OM complex LptDE, lipoprotein component; leucyl-tRNA synthetase"
"3130" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0645; b0646" "ybeR; djlB" "predicted protein; predicted co-chaperone"
"3131" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0648; b0649" "ybeU; djlC" "conserved protein, DUF1266 family; Hsc56 co-chaperone of HscC"
"3132" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0651; b0652; b0653; b0654" "rihA; gltL; gltK; gltJ" "ribonucleoside hydrolase 1; glutamate, aspartate ABC transporter ATP-binding subunit; glutamate, aspartate ABC transporter permease subunit; glutamate, aspartate ABC transporter permease subunit"
"3133" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0657; b0658; b0659; b0660" "lnt; ybeX; ybeY; ybeZ" "apolipoprotein N-acyltransferase; predicteed ion transport; metal-binding heat shock protein required for rRNA maturation; predicted protein with nucleoside triphosphate hydrolase domain"
"3134" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0675; b0676; b0677; b0678" "nagD; nagC; nagA; nagB" "UMP phosphatase; DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine; N-acetylglucosamine-6-phosphate deacetylase; glucosamine-6-phosphate deaminase"
"3135" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0681; b0682" "chiP; chiQ" "chitoporin, uptake of chitosugars; novel lipoprotein induced by chitosugars"
"3136" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0683; b4637" "fur; uof" "DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport; ryhB-regulated fur leader peptide"
"3137" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0687; b0688" "seqA; pgm" "regulatory protein for replication initiation; phosphoglucomutase"
"3138" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0692; b0693" "potE; speF" "putrescine/proton symporter: putrescine/ornithine antiporter; ornithine decarboxylase isozyme, inducible"
"3139" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0694; b0695; b0696; b0697; b0698; b4513" "kdpE; kdpD; kdpC; kdpB; kdpA; kdpF" "DNA-binding response regulator in two-component regulatory system with KdpD; fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein; potassium translocating ATPase, subunit C; potassium translocating ATPase, subunit B; potassium translocating ATPase, subunit A; potassium ion accessory transporter subunit"
"3140" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0700; b0702" "rhsC; ybfB" "rhsC element core protein RshC; predicted membrane protein"
"3141" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0707; b0708" "ybgA; phr" "conserved protein, DUF1722 family; deoxyribodipyrimidine photolyase, FAD-binding"
"3142" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0710; b0711; b0712; b0713; b0714" "ybgI; ybgJ; ybgK; ybgL; nei" "conserved metal-binding protein, NIF3 family; predicted enzyme subunit; predicted enzyme subunit; conserved protein, UPF0271 family; endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase"
"3143" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0716; b0717; b0718; b0719" "ybgO; ybgP; ybgQ; ybgD" "predicted fimbrial-like adhesin protein; predicted periplasmic pilus chaperone; predicted outer membrane protein; predicted fimbrial-like adhesin protein"
"3144" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0721; b0722; b0723; b0724" "sdhC; sdhD; sdhA; sdhB" "succinate dehydrogenase, membrane subunit, binds cytochrome b556; succinate dehydrogenase, membrane subunit, binds cytochrome b556; succinate dehydrogenase, flavoprotein subunit; succinate dehydrogenase, FeS subunit"
"3145" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0726; b0727" "sucA; sucB" "2-oxoglutarate decarboxylase, thiamin-requiring; dihydrolipoyltranssuccinase"
"3146" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0728; b0729" "sucC; sucD" "succinyl-CoA synthetase, beta subunit; succinyl-CoA synthetase, NAD(P)-binding, alpha subunit"
"3147" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0731; b0732" "mngA; mngB" "fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component; alpha-mannosidase"
"3148" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0733; b0734; b4515; b0735" "cydA; cydB; ybgT; ybgE" "cytochrome d terminal oxidase, subunit I; cytochrome d terminal oxidase, subunit II; conserved protein; conserved protein"
"3149" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0736; b0737; b0738; b0739" "ybgC; tolQ; tolR; tolA" "acyl-CoA thioesterase, involved in phospholipid metabolism; membrane spanning protein in TolA-TolQ-TolR complex; membrane spanning protein in TolA-TolQ-TolR complex; membrane anchored protein in TolA-TolQ-TolR complex"
"3150" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0740; b0741; b0742" "tolB; pal; ybgF" "periplasmic protein; peptidoglycan-associated outer membrane lipoprotein; periplasmic TolA-binding protein"
"3151" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0750; b0751" "nadA; pnuC" "quinolinate synthase, subunit A; nicotinamide mononucleotide transporter"
"3152" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0756; b0757; b0758; b0759" "galM; galK; galT; galE" "galactose-1-epimerase (mutarotase); galactokinase; galactose-1-phosphate uridylyltransferase; UDP-galactose-4-epimerase"
"3153" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0760; b0761" "modF; modE" "fused molybdate transporter subunits of ABC superfamily: ATP-binding components; DNA-binding transcriptional repressor for the molybdenum transport operon modABC"
"3154" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0763; b0764; b0765" "modA; modB; modC" "molybdate transporter subunit; molybdate transporter subunit; molybdate transporter subunit"
"3155" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0769; b0770" "ybhH; ybhI" "conserved protein; predicted transporter"
"3156" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0773; b0774" "ybhB; bioA" "kinase inhibitor homolog, UPF0098 family; 7,8-diaminopelargonic acid synthase, PLP-dependent"
"3157" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0775; b0776; b0777; b0778" "bioB; bioF; bioC; bioD" "biotin synthase; 8-amino-7-oxononanoate synthase; malonyl-CoA methyltransferase, SAM-dependent; dethiobiotin synthetase"
"3158" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0781; b0782; b0783; b0784; b0785" "moaA; moaB; moaC; moaD; moaE" "molybdopterin biosynthesis protein A; molybdopterin biosynthesis protein B; molybdopterin biosynthesis, protein C; molybdopterin synthase, small subunit; molybdopterin synthase, large subunit"
"3159" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0788; b0789; b0790" "ybhN; ybhO; ybhP" "conserved inner membrane protein; cardiolipin synthase 2; conserved protein, endo/exonuclease/phosphatase family PFAM PF03372"
"3160" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0792; b0793; b0794; b0795; b0796" "ybhR; ybhS; ybhF; ybhG; ybiH" "predicted transporter subunit: membrane component of ABC superfamily; predicted transporter subunit: membrane component of ABC superfamily; fused predicted transporter subunits of ABC superfamily: ATP-binding components; predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor; predicted DNA-binding transcriptional regulator"
"3161" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0799; b0800" "dinG; ybiB" "ATP-dependent DNA helicase; predicted family 3 glycosyltransferase"
"3162" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0803; b0804; b0805" "ybiI; ybiX; fiu" "DksA-type zinc finger protein, function unknown; conserved protein, Fe(II)-dependent oxygenase superfamily; catecholate siderophore receptor Fiu"
"3163" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0809; b0810; b0811" "glnQ; glnP; glnH" "glutamine transporter subunit; glutamine transporter subunit; glutamine transporter subunit"
"3164" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0817; b0818" "mntR; ybiR" "DNA-binding transcriptional regulator of mntH; predicted transporter"
"3165" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0823; b0824" "ybiW; ybiY" "predicted pyruvate formate lyase; predicted pyruvate formate lyase activating enzyme"
"3166" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0826; b0827" "moeB; moeA" "molybdopterin synthase sulfurylase; molybdopterin biosynthesis protein"
"3167" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0828; b0829; b0830; b0831; b0832" "iaaA; gsiA; gsiB; gsiC; gsiD" "Isoaspartyl peptidase; glutathione transporter ATP-binding protein, ABC superfamily; glutathione periplasmic binding protein, ABC superfamily transporter; glutathione transporter, permease component, ABC superfamily; glutathione transporter, permease component, ABC superfamily"
"3168" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0833; b0834" "yliE; yliF" "predicted cyclic-di-GMP phosphodiesterase, inner membrane protein; predicted diguanylate cyclase"
"3169" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0840; b0841" "deoR; ybjG" "DNA-binding transcriptional repressor; undecaprenyl pyrophosphate phosphatase"
"3170" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0844; b0845" "ybjI; ybjJ" "FMN and erythrose-4-P phosphatase; predicted transporter"
"3171" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0850; b0851; b0852" "ybjC; nfsA; rimK" "conserved protein, DUF1418 family; nitroreductase A, NADPH-dependent, FMN-dependent; ribosomal protein S6 modification protein"
"3172" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0854; b0855; b0856; b0857; b0858; b0859" "potF; potG; potH; potI; ybjO; rlmD" "putrescine transporter subunit: periplasmic-binding component of ABC superfamily; putrescine transporter subunit: ATP-binding component of ABC superfamily; putrescine transporter subunit: membrane component of ABC superfamily; putrescine transporter subunit: membrane component of ABC superfamily; inner membrane protein, DUF2593 family; 23S rRNA m(5)U747 methyltransferase"
"3173" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0861; b0862; b0863; b0864" "artM; artQ; artI; artP" "arginine transporter subunit; arginine transporter subunit; arginine transporter subunit; arginine transporter subunit"
"3174" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0866; b0867" "ybjQ; amiD" "conserved protein, UPF0145 family; 1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein"
"3175" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0868; b0869; b0870; b0871" "ybjS; ybjT; ltaE; poxB" "predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain; conserved protein with NAD(P)-binding Rossmann-fold domain; L-allo-threonine aldolase, PLP-dependent; pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent, FAD-binding"
"3176" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0872; b0873" "hcr; hcp" "HCP oxidoreductase, NADH-dependent; hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases"
"3177" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0878; b0879" "macA; macB" "macrolide transporter subunit, membrane fusion protein (MFP) component; fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component"
"3178" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0881; b0882" "clpS; clpA" "regulatory protein for ClpA substrate specificity; ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity"
"3179" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0885; b0886; b0887" "aat; cydC; cydD" "leucyl/phenylalanyl-tRNA-protein transferase; fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component; fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component"
"3180" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0891; b0892; b0893" "lolA; rarA; serS" "chaperone for lipoproteins; DNA-dependent ATPase involved in processing recombination intermediates at replication forks; seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine"
"3181" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0894; b0895; b0896" "dmsA; dmsB; dmsC" "dimethyl sulfoxide reductase, anaerobic, subunit A; dimethyl sulfoxide reductase, anaerobic, subunit B; dimethyl sulfoxide reductase, anaerobic, subunit C"
"3182" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0903; b0904" "pflB; focA" "pyruvate formate lyase I; formate channel"
"3183" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0907; b0908" "serC; aroA" "3-phosphoserine/phosphohydroxythreonine aminotransferase; 5-enolpyruvylshikimate-3-phosphate synthetase"
"3184" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0910; b0911" "cmk; rpsA" "cytidylate kinase; 30S ribosomal subunit protein S1"
"3185" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0913; b0914; b0915; b0916; b0917; b0918" "ycaI; msbA; lpxK; ycaQ; ycaR; kdsB" "inner membrane protein, ComEC family of competence proteins; fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component; lipid A 4'kinase; conserved protein; conserved protein, UPF0434 family; 3-deoxy-manno-octulosonate cytidylyltransferase"
